PDB,Non-canonicala,Length,%ASA_i,Binding affinity (Kcal/mol)
1B6J,N,5,74.05%,-10.795
1B6K,N,4,74.99%,-11.918
1B6L,N,2,72.93%,-11.313
1B6M,N,3,72.88%,-11.445
1B6P,N,4,73.40%,-11.616
1BCK,N,11,41.23%,-10.766
1BM2,N,6,44.78%,-9.484
1BZH,N,7,38.92%,-9.226
1C5F,N,11,44.74%,-8.267
1CPI,N,5,73.18%,-10.098
1CWA,N,11,42.19%,
1CWB,N,11,40.46%,-10.748
1CWC,N,11,41.27%,-10.625
1CWF,N,11,41.13%,-9.905
1CWH,N,11,41.05%,-11.622
1CWI,N,11,41.02%,-11.185
1CWJ,N,11,40.90%,-11.81
1CWK,N,11,40.08%,-11.341
1CWL,N,11,40.94%,-10.965
1CWM,N,11,41.55%,-11.268
1CWO,N,11,40.09%,
1CYN,N,11,41.62%,-10.464
1D4K,N,3,73.18%,-12.568
1D4L,N,2,73.24%,-11.952
1E4W,C,7,48.19%,
1FJM,N,7,53.89%,
1G9I,C,22,34.58%,-9.432
1H0G,N,5,74.69%,-6.108
1H0I,N,5,61.66%,-10.493
1HQQ,C,13,39.08%,
1HXL,C,13,32.13%,
1HXZ,C,13,32.16%,
1IKF,N,11,44.73%,
1JBU,C,15,43.34%,
1JK4,C,6,40.44%,
1MIK,N,11,42.76%,-8.65
1QNG,N,11,40.37%,-10.748
1QNH,N,11,39.82%,-8.258
1QR3,N,8,55.21%,-8.975
1SFI,C,14,47.44%,-13.629
1SLD,C,6,51.54%,-8.952
1SLE,C,8,42.25%,-8.414
1SMF,C,9,47.70%,-9.432
1T7D,N,7,45.99%,-8.214
1TK2,N,10,44.92%,
1TMB,N,5,56.48%,-9.192
1VPP,C,18,27.74%,-6.932
1VWB,C,6,45.84%,-10.493
1VWC,C,6,46.26%,
1VWD,C,6,46.68%,-7.711
1VWE,C,6,48.79%,-7.738
1VWI,N,9,34.93%,
1VWJ,N,9,35.18%,
1VWK,N,9,34.61%,
1VWL,N,9,34.32%,-7.677
1VWM,C,6,48.32%,-7.767
1VWN,C,6,48.95%,-7.937
1VWO,C,8,46.65%,-7.684
1VWP,C,8,45.81%,-7.684
1VWQ,N,9,34.44%,
1VWR,N,9,35.14%,-7.677
1W9U,N,5,62.89%,-8.302
1W9V,N,5,54.95%,-8.637
1WAW,N,5,67.40%,-10.748
1WB0,N,5,55.50%,-7.287
1XQ7,N,11,40.20%,
1YF4,C,9,48.45%,-11.313
1Z1H,N,2,73.24%,-11.445
1Z1R,N,2,72.85%,-12.568
2AOA,N,2,42.45%,
2AXI,N,10,44.96%,-9.341
2BCD,N,5,52.66%,-13.931
2BDX,N,7,52.48%,
2BR8,C,16,56.08%,-10.204
2BYP,N,12,60.50%,-12.342
2C9T,C,12,62.04%,-10.196
2CK0,C,11,39.14%,
2CV3,N,11,54.39%,-8.952
2ESL,N,11,64.88%,-11.058
2NWN,C,12,43.88%,-8.588
2OJU,N,11,42.74%,-6.706
2POY,N,11,54.37%,
2RMA,N,11,69.30%,
2RMB,N,11,70.22%,
2RMC,N,11,40.55%,
2UZ6,C,16,61.61%,-11.952
2WFJ,N,11,40.17%,-9.751
2X2C,N,11,57.84%,-10.523
2X7K,N,11,41.35%,
2YJA,N,11,34.40%,-8.795
2YJD,N,11,33.20%,-8.449
2YQ6,N,18,45.47%,-10.013
2YQ7,N,18,46.00%,-10.162
2Z6W,N,11,40.46%,-10.73
3AV9,C,8,42.75%,-8.67
3AVA,C,8,40.31%,-5.998
3AVB,C,8,40.89%,-5.546
3AVC,C,8,41.92%,-5.546
3AVF,C,8,41.37%,-4.811
3AVG,C,8,40.90%,-4.499
3AVH,C,8,38.11%,-4.499
3AVI,C,8,46.08%,-4.499
3AVJ,C,8,45.48%,-4.499
3AVK,C,8,43.51%,-4.499
3AVL,C,8,42.47%,-5.699
3AVM,C,8,39.37%,-4.499
3AVN,C,8,39.61%,-4.499
3BO7,N,11,63.52%,
3BXR,N,3,75.01%,-8.309
3BXS,N,2,70.86%,-6.946
3DV1,N,2,71.32%,-8.49
3DV5,N,2,72.98%,-10.436
3E7A,N,5,54.86%,-13.629
3EGH,N,5,54.90%,
3G5V,N,17,37.72%,-10.625
3G5Y,C,16,37.06%,-10.162
3IIQ,N,7,47.21%,-12.266
3KTI,N,7,53.99%,
3M61,C,12,46.39%,
3MT6,N,7,54.60%,
3N7Y,N,5,46.19%,
3N84,N,6,48.80%,
3ODI,N,11,70.01%,-10.663
3ODL,N,11,70.42%,-9.833
3OX7,C,14,47.17%,
3OY5,C,15,48.40%,-7.179
3OY6,C,15,45.21%,
3P72,C,11,47.92%,
3P8F,C,14,52.31%,-12.315
3PMP,N,11,39.74%,
3PP4,C,24,22.35%,-7.026
3PQZ,N,11,62.30%,-6.073
3QN7,N,17,47.54%,-9.266
3RQD,N,5,69.18%,
3S04,N,8,44.44%,
3TDZ,N,11,40.69%,-9.3
3V3B,N,13,38.94%,-9.894
3WBN,N,19,39.87%,
3WDC,N,7,51.52%,-10.795
3WDD,N,7,50.64%,-8.324
3WDE,N,7,50.90%,-9.413
3WMG,N,17,26.07%,
3WNE,C,6,50.94%,
3WNF,C,6,50.60%,
3WNG,N,6,44.18%,
3WNH,N,6,44.86%,
3ZGC,C,7,62.25%,
4ABI,N,11,49.19%,-11.177
4ABJ,N,10,51.24%,-10.179
4EZ1,C,13,69.61%,
4GLY,C,13,48.58%,-6.969
4GUX,C,34,40.95%,
4GVU,N,8,51.65%,-10.253
4GW1,C,12,58.31%,-8.677
4GW5,C,12,59.16%,-7.436
4HGC,N,12,49.88%,-13.629
4HY7,N,11,41.48%,
4I5L,N,7,50.75%,
4IB5,C,13,38.44%,-8.521
4IOI,C,12,61.81%,
4IPZ,N,11,38.31%,
4JJM,N,11,59.07%,-10.315
4JK5,N,18,43.75%,-10.294
4JK6,N,18,42.35%,-9.804
4JNA,N,5,74.85%,
4K1E,C,14,48.88%,-11.509
4KEL,C,14,49.40%,
4KTC,N,3,72.74%,-12.266
4KTS,N,13,37.80%,
4KTU,N,12,46.28%,-8.401
4M1D,C,14,42.67%,-10.41
4MNW,N,14,40.92%,-7.856
4MNX,N,14,42.04%,-6.475
4MNY,N,14,40.12%,-7.779
4MZJ,N,18,57.51%,-7.899
4MZK,N,18,56.19%,-7.237
4MZL,N,18,67.57%,-7.659
4N5T,N,14,44.62%,-11.114
4N7Y,N,11,58.60%,-8.531
4N84,N,10,55.46%,-8.576
4NEC,N,10,60.85%,
4OS1,N,14,46.56%,-7.635
4OS2,N,13,45.37%,-9.13
4OS4,N,14,41.82%,-6.632
4OS5,N,14,42.93%,-6.304
4OS6,N,13,45.39%,-8.782
4OS7,N,14,41.14%,-6.296
4OU3,C,6,51.48%,-6.013
4Q2K,N,2,73.04%,-10.196
4TOT,N,11,49.09%,
4W4Z,N,12,47.70%,-10.253
4W50,C,12,52.94%,-7.978
4WVT,N,6,57.47%,-7.24
4WVU,N,5,46.32%,-7.776
